order_id,customer_id,return_reason,return_status
2413,861,Defective,Not Accepted
2418,518,Duplicate Order,Delivered
2421,116,Duplicate Order,Not Accepted
2422,57,Changed Mind,Delivered
2428,362,Quality Issues,Not Accepted
2429,176,Damaged,Not Accepted
2458,60,Defective,Not Accepted
2460,873,Defective,Not Accepted
2482,71,Not as Expected,Not Accepted
2497,400,Found a Better Price,Received
2498,933,Changed Mind,Delivered
2499,126,Wrong Item,Delivered
2520,344,Wrong Item,Not Accepted
2532,629,Too Expensive,Delivered
2538,185,Too Expensive,Not Accepted
2545,23,Quality Issues,Delivered
2546,816,Wrong Item,Not Accepted
2549,326,Defective,Not Accepted
2562,633,Not as Expected,Not Accepted
2571,275,Too Expensive,Not Accepted
2574,288,Defective,Delivered
2577,932,Damaged,Delivered
2581,838,Damaged,Delivered
2601,150,Changed Mind,Delivered
2612,346,Defective,Not Accepted
2622,569,Found a Better Price,Delivered
2637,814,Damaged,Delivered
2650,509,Quality Issues,Delivered
2654,1002,Found a Better Price,Delivered
2671,928,Size/Fit Issues,Delivered
2675,301,Defective,Not Accepted
2683,963,Duplicate Order,Delivered
2696,148,Wrong Item,Registered
2706,174,Changed Mind,Not Accepted
2707,26,Duplicate Order,Delivered
2708,675,Too Expensive,Not Accepted
2718,966,Changed Mind,Not Accepted
2721,271,Found a Better Price,Delivered
2727,140,Not as Expected,Sent
2731,811,Found a Better Price,Delivered
2736,61,Damaged,Received
2760,156,Duplicate Order,Delivered
2761,177,Found a Better Price,Not Accepted
2762,699,Wrong Item,Not Accepted
2765,313,Not as Expected,Not Accepted
2766,800,Duplicate Order,Not Accepted
2769,256,Too Expensive,Delivered
2773,652,Duplicate Order,Delivered
2776,136,Found a Better Price,Delivered
2777,338,Quality Issues,Not Accepted
2779,974,Damaged,Sent
2784,184,Too Expensive,Delivered
2800,538,Found a Better Price,Delivered
2805,72,Not as Expected,Not Accepted
2814,97,Duplicate Order,Not Accepted
2817,976,Changed Mind,Delivered
2821,938,Wrong Item,Not Accepted
2828,197,Found a Better Price,Delivered
2832,950,Duplicate Order,Registered
2834,259,Not as Expected,Delivered
2838,304,Wrong Item,Not Accepted
2841,999,Size/Fit Issues,Not Accepted
2850,85,Defective,Delivered
2852,890,Too Expensive,Registered
2861,159,Duplicate Order,Delivered
2863,731,Not as Expected,Not Accepted
2868,875,Size/Fit Issues,Sent
2890,544,Not as Expected,Delivered
2895,158,Wrong Item,Not Accepted
2896,35,Found a Better Price,Delivered
2906,550,Duplicate Order,Not Accepted
2922,638,Size/Fit Issues,Delivered
2928,928,Duplicate Order,Not Accepted
2945,963,Size/Fit Issues,Not Accepted
2964,211,Not as Expected,Sent
2966,50,Damaged,Not Accepted
2998,218,Damaged,Not Accepted
3015,993,Found a Better Price,Delivered
3034,88,Too Expensive,Delivered
3038,125,Too Expensive,Not Accepted
3059,538,Damaged,Not Accepted
3062,835,Wrong Item,Not Accepted
3075,273,Too Expensive,Delivered
3080,609,Wrong Item,Delivered
3114,697,Found a Better Price,Sent
3129,928,Size/Fit Issues,Delivered
3134,341,Defective,Not Accepted
3135,532,Found a Better Price,Not Accepted
3138,498,Size/Fit Issues,Delivered
3142,770,Defective,Registered
3143,254,Too Expensive,Delivered
3167,171,Quality Issues,Delivered
3171,432,Damaged,Delivered
3182,597,Quality Issues,Not Accepted
3207,121,Defective,Delivered
3208,694,Too Expensive,Delivered
3212,204,Size/Fit Issues,Registered
3252,937,Not as Expected,Delivered
3253,221,Defective,Not Accepted
3254,569,Not as Expected,Delivered
3259,582,Duplicate Order,Delivered
3264,953,Not as Expected,Not Accepted
3299,42,Defective,Not Accepted
3303,359,Damaged,Not Accepted
3309,924,Too Expensive,Not Accepted
3335,80,Wrong Item,Delivered
3339,433,Wrong Item,Delivered
3340,44,Duplicate Order,Not Accepted
3344,187,Defective,Not Accepted
3359,833,Quality Issues,Not Accepted
3378,721,Too Expensive,Registered
3379,74,Found a Better Price,Delivered
3395,262,Quality Issues,Delivered
3397,591,Changed Mind,Not Accepted
3398,295,Found a Better Price,Not Accepted
3414,747,Found a Better Price,Delivered
3415,980,Changed Mind,Sent
3421,67,Changed Mind,Sent
3422,404,Wrong Item,Not Accepted
3423,31,Size/Fit Issues,Not Accepted
3433,975,Damaged,Sent
3437,520,Wrong Item,Sent
3439,451,Size/Fit Issues,Received
3445,279,Defective,Not Accepted
3452,230,Too Expensive,Not Accepted
3459,104,Wrong Item,Not Accepted
3471,798,Found a Better Price,Delivered
3473,251,Defective,Delivered
3494,82,Wrong Item,Delivered
3499,877,Duplicate Order,Registered
3506,607,Too Expensive,Not Accepted
3520,415,Found a Better Price,Delivered
3526,124,Changed Mind,Not Accepted
3528,613,Changed Mind,Not Accepted
3540,963,Not as Expected,Delivered
3542,480,Size/Fit Issues,Delivered
3550,192,Size/Fit Issues,Not Accepted
3577,452,Not as Expected,Sent
3583,409,Duplicate Order,Delivered
3599,949,Quality Issues,Not Accepted
3616,667,Wrong Item,Not Accepted
3618,911,Found a Better Price,Not Accepted
3621,736,Damaged,Delivered
3632,712,Found a Better Price,Delivered
3644,371,Wrong Item,Not Accepted
3656,524,Too Expensive,Not Accepted
3658,992,Too Expensive,Delivered
3668,992,Found a Better Price,Not Accepted
3679,699,Quality Issues,Received
3682,927,Damaged,Not Accepted
3686,801,Duplicate Order,Sent
3693,845,Too Expensive,Not Accepted
3706,156,Too Expensive,Delivered
3719,113,Wrong Item,Not Accepted
3726,227,Found a Better Price,Not Accepted
3742,923,Quality Issues,Sent
3750,429,Wrong Item,Sent
3779,102,Wrong Item,Not Accepted
3784,861,Duplicate Order,Not Accepted
3789,514,Wrong Item,Delivered
3793,608,Changed Mind,Not Accepted
3808,603,Changed Mind,Not Accepted
3811,301,Size/Fit Issues,Not Accepted
3812,278,Wrong Item,Delivered
3829,706,Too Expensive,Not Accepted
3830,186,Wrong Item,Delivered
3838,976,Wrong Item,Not Accepted
3848,434,Quality Issues,Not Accepted
3863,729,Size/Fit Issues,Delivered
3869,173,Quality Issues,Not Accepted
3878,254,Damaged,Delivered
3895,43,Found a Better Price,Delivered
3899,143,Found a Better Price,Delivered
3907,52,Size/Fit Issues,Received
3911,315,Found a Better Price,Not Accepted
3912,95,Duplicate Order,Not Accepted
3925,671,Wrong Item,Delivered
3929,704,Size/Fit Issues,Not Accepted
3931,627,Size/Fit Issues,Not Accepted
3932,427,Defective,Delivered
3944,513,Duplicate Order,Delivered
3951,73,Damaged,Delivered
3954,76,Wrong Item,Not Accepted
3980,248,Damaged,Delivered
3989,774,Found a Better Price,Sent
3991,291,Quality Issues,Not Accepted
3992,512,Damaged,Not Accepted
3993,702,Changed Mind,Not Accepted
4030,570,Wrong Item,Not Accepted
4053,567,Changed Mind,Not Accepted
4060,731,Too Expensive,Delivered
4062,50,Defective,Delivered
4066,87,Wrong Item,Received
4092,202,Not as Expected,Not Accepted
4096,895,Defective,Not Accepted
4114,265,Not as Expected,Not Accepted
4122,460,Damaged,Not Accepted
4133,395,Defective,Not Accepted
4139,790,Changed Mind,Not Accepted
4151,933,Defective,Delivered
4154,246,Changed Mind,Not Accepted
4172,897,Changed Mind,Not Accepted
4175,734,Too Expensive,Delivered
4197,312,Duplicate Order,Registered
4204,900,Wrong Item,Delivered
4207,111,Changed Mind,Delivered
4217,166,Found a Better Price,Not Accepted
4232,400,Quality Issues,Sent
4236,486,Wrong Item,Not Accepted
4247,227,Not as Expected,Not Accepted
4251,954,Found a Better Price,Delivered
4266,899,Defective,Delivered
4272,384,Defective,Delivered
4275,902,Changed Mind,Not Accepted
4277,886,Too Expensive,Not Accepted
4283,250,Damaged,Not Accepted
4291,637,Duplicate Order,Not Accepted
4304,168,Defective,Not Accepted
4308,174,Too Expensive,Delivered
4317,919,Quality Issues,Not Accepted
4319,732,Too Expensive,Sent
4321,19,Changed Mind,Not Accepted
4331,252,Defective,Received
4349,431,Damaged,Delivered
4357,91,Defective,Registered
4362,718,Defective,Not Accepted
4388,234,Found a Better Price,Not Accepted
4396,952,Wrong Item,Not Accepted
4401,838,Damaged,Delivered
4405,213,Too Expensive,Not Accepted
4409,383,Duplicate Order,Delivered
4412,103,Size/Fit Issues,Delivered
4422,467,Size/Fit Issues,Not Accepted
4434,230,Duplicate Order,Delivered
4435,61,Too Expensive,Sent
4436,559,Found a Better Price,Not Accepted
4470,193,Defective,Not Accepted
4490,180,Defective,Delivered
4517,457,Not as Expected,Not Accepted
4524,687,Wrong Item,Delivered
4528,516,Too Expensive,Not Accepted
4541,744,Found a Better Price,Delivered
4542,472,Changed Mind,Not Accepted
4621,251,Size/Fit Issues,Delivered
4629,623,Defective,Not Accepted
4630,853,Duplicate Order,Delivered
4631,784,Size/Fit Issues,Delivered
4637,434,Not as Expected,Sent
4643,302,Not as Expected,Not Accepted
4648,330,Changed Mind,Not Accepted
4658,939,Too Expensive,Delivered
4668,631,Defective,Not Accepted
4691,247,Damaged,Delivered
4694,978,Damaged,Delivered
4695,529,Too Expensive,Delivered
4719,905,Damaged,Delivered
4722,266,Too Expensive,Delivered
4723,558,Duplicate Order,Delivered
4729,448,Defective,Delivered
4730,257,Defective,Delivered
4737,540,Changed Mind,Sent
4743,910,Size/Fit Issues,Delivered
4749,772,Duplicate Order,Delivered
4767,467,Damaged,Delivered
4773,670,Damaged,Not Accepted
4799,145,Changed Mind,Not Accepted
4800,890,Too Expensive,Delivered
4819,1001,Not as Expected,Delivered
4845,101,Wrong Item,Not Accepted
4875,598,Duplicate Order,Not Accepted
4893,714,Changed Mind,Not Accepted
4914,288,Duplicate Order,Not Accepted
4915,465,Not as Expected,Delivered
4932,386,Size/Fit Issues,Not Accepted
4947,637,Defective,Not Accepted
4954,133,Size/Fit Issues,Not Accepted
4957,893,Too Expensive,Not Accepted
4962,369,Duplicate Order,Not Accepted
4972,369,Too Expensive,Not Accepted
4974,376,Duplicate Order,Not Accepted
4976,13,Wrong Item,Delivered
4978,740,Defective,Not Accepted
4983,296,Wrong Item,Not Accepted
4988,84,Found a Better Price,Not Accepted
4994,860,Defective,Not Accepted
4998,362,Size/Fit Issues,Not Accepted
5002,141,Found a Better Price,Delivered
5023,89,Size/Fit Issues,Registered
5059,189,Changed Mind,Delivered
5060,643,Duplicate Order,Registered
5061,629,Defective,Registered
5078,256,Defective,Not Accepted
5088,738,Found a Better Price,Not Accepted
5099,813,Not as Expected,Not Accepted
5106,608,Damaged,Delivered
5111,79,Duplicate Order,Delivered
5112,373,Damaged,Delivered
5114,726,Damaged,Not Accepted
5119,481,Damaged,Registered
5121,731,Not as Expected,Delivered
5124,928,Wrong Item,Not Accepted
5136,907,Duplicate Order,Not Accepted
5138,937,Not as Expected,Not Accepted
5172,27,Defective,Not Accepted
5174,831,Defective,Not Accepted
5176,86,Found a Better Price,Not Accepted
5179,212,Duplicate Order,Not Accepted
5212,985,Changed Mind,Registered
5237,924,Changed Mind,Delivered
5244,298,Found a Better Price,Delivered
5256,588,Damaged,Delivered
5259,627,Not as Expected,Delivered
5261,831,Size/Fit Issues,Not Accepted
5263,987,Wrong Item,Not Accepted
5270,893,Defective,Sent
5282,891,Duplicate Order,Delivered
5287,395,Damaged,Delivered
5293,682,Duplicate Order,Delivered
5318,964,Duplicate Order,Registered
5324,102,Duplicate Order,Not Accepted
5333,817,Quality Issues,Not Accepted
5347,610,Quality Issues,Delivered
5350,460,Changed Mind,Not Accepted
5355,793,Duplicate Order,Not Accepted
5358,824,Quality Issues,Not Accepted
5371,784,Changed Mind,Not Accepted
5387,863,Changed Mind,Delivered
5391,735,Too Expensive,Not Accepted
5415,461,Duplicate Order,Delivered
5419,578,Wrong Item,Delivered
5422,717,Too Expensive,Delivered
5425,938,Wrong Item,Not Accepted
5428,411,Wrong Item,Delivered
5429,765,Changed Mind,Delivered
5441,637,Not as Expected,Not Accepted
5478,570,Not as Expected,Delivered
5491,333,Not as Expected,Not Accepted
5498,608,Wrong Item,Delivered
5518,722,Damaged,Delivered
5531,149,Damaged,Not Accepted
5545,957,Changed Mind,Delivered
5546,623,Duplicate Order,Delivered
5567,876,Size/Fit Issues,Delivered
5571,843,Size/Fit Issues,Delivered
5574,916,Damaged,Delivered
5577,949,Wrong Item,Delivered
5599,650,Changed Mind,Not Accepted
5601,725,Duplicate Order,Delivered
5608,658,Defective,Delivered
5614,582,Damaged,Delivered
5617,399,Quality Issues,Delivered
5620,818,Size/Fit Issues,Delivered
5624,923,Too Expensive,Delivered
5650,131,Too Expensive,Sent
5661,299,Found a Better Price,Not Accepted
5669,137,Changed Mind,Delivered
5700,161,Too Expensive,Delivered
5704,718,Damaged,Delivered
5716,343,Damaged,Not Accepted
5727,330,Found a Better Price,Not Accepted
5758,29,Size/Fit Issues,Registered
5759,56,Wrong Item,Not Accepted
5761,471,Quality Issues,Delivered
5767,900,Defective,Delivered
5775,566,Too Expensive,Delivered
5800,432,Size/Fit Issues,Not Accepted
5821,866,Damaged,Delivered
5822,946,Duplicate Order,Sent
5825,739,Found a Better Price,Delivered
5830,562,Found a Better Price,Delivered
5833,171,Quality Issues,Not Accepted
5834,217,Wrong Item,Delivered
5841,28,Size/Fit Issues,Not Accepted
5851,358,Duplicate Order,Not Accepted
5900,592,Too Expensive,Delivered
5908,788,Defective,Registered
5911,926,Not as Expected,Delivered
5917,953,Size/Fit Issues,Not Accepted
5932,882,Wrong Item,Not Accepted
5934,421,Wrong Item,Delivered
5940,248,Wrong Item,Not Accepted
5948,112,Defective,Delivered
5950,715,Too Expensive,Delivered
5958,699,Not as Expected,Delivered
5961,835,Changed Mind,Not Accepted
5962,814,Quality Issues,Delivered
5984,600,Changed Mind,Delivered
6000,294,Too Expensive,Not Accepted
6001,31,Duplicate Order,Delivered
6006,111,Wrong Item,Not Accepted
6029,880,Defective,Delivered
6057,389,Defective,Not Accepted
6058,9,Damaged,Delivered
6060,536,Defective,Not Accepted
6077,641,Too Expensive,Delivered
6083,411,Quality Issues,Delivered
6088,76,Size/Fit Issues,Registered
6097,968,Wrong Item,Not Accepted
6106,507,Changed Mind,Delivered
6107,757,Wrong Item,Not Accepted
6108,323,Quality Issues,Delivered
6123,434,Too Expensive,Not Accepted
6136,157,Not as Expected,Not Accepted
6137,649,Wrong Item,Delivered
6175,410,Too Expensive,Delivered
6185,511,Duplicate Order,Delivered
6212,440,Quality Issues,Not Accepted
6217,249,Not as Expected,Not Accepted
6234,447,Damaged,Received
6248,1001,Not as Expected,Not Accepted
6252,367,Damaged,Delivered
6267,455,Size/Fit Issues,Not Accepted
6272,668,Size/Fit Issues,Delivered
6274,168,Too Expensive,Not Accepted
6275,90,Damaged,Not Accepted
6283,977,Damaged,Not Accepted
6284,43,Size/Fit Issues,Delivered
6299,432,Not as Expected,Delivered
6320,209,Quality Issues,Registered
6327,690,Damaged,Delivered
6331,260,Duplicate Order,Delivered
6334,229,Too Expensive,Received
6338,601,Defective,Registered
6344,536,Wrong Item,Delivered
6360,609,Quality Issues,Delivered
6370,35,Quality Issues,Not Accepted
6374,47,Changed Mind,Sent
6377,984,Defective,Received
6386,811,Damaged,Delivered
6388,27,Quality Issues,Delivered
6399,200,Wrong Item,Registered
6425,573,Duplicate Order,Delivered
6430,768,Not as Expected,Delivered
6432,756,Defective,Delivered
6448,392,Too Expensive,Sent
6457,410,Size/Fit Issues,Not Accepted
6485,34,Defective,Delivered
6486,422,Changed Mind,Delivered
6494,85,Duplicate Order,Delivered
6513,174,Quality Issues,Not Accepted
6520,643,Found a Better Price,Not Accepted
6534,414,Damaged,Not Accepted
6535,307,Found a Better Price,Not Accepted
6536,675,Defective,Registered
6539,694,Too Expensive,Not Accepted
6544,737,Defective,Not Accepted
6558,243,Not as Expected,Delivered
6572,887,Found a Better Price,Not Accepted
6584,691,Not as Expected,Delivered
6585,119,Damaged,Not Accepted
6594,810,Defective,Delivered
6607,207,Defective,Registered
6610,419,Found a Better Price,Not Accepted
6619,910,Quality Issues,Delivered
6628,186,Changed Mind,Delivered
6636,908,Too Expensive,Not Accepted
6637,540,Damaged,Delivered
6641,816,Too Expensive,Not Accepted
6643,157,Size/Fit Issues,Registered
6663,284,Changed Mind,Delivered
6734,579,Wrong Item,Not Accepted
6737,791,Too Expensive,Registered
6743,585,Defective,Delivered
6771,819,Size/Fit Issues,Delivered
6779,802,Duplicate Order,Delivered
6789,784,Duplicate Order,Delivered
6812,757,Quality Issues,Not Accepted
6815,160,Damaged,Delivered
6848,435,Found a Better Price,Delivered
6850,779,Not as Expected,Delivered
6860,734,Too Expensive,Not Accepted
6869,179,Too Expensive,Not Accepted
6871,497,Defective,Delivered
6889,510,Found a Better Price,Delivered
6893,451,Defective,Not Accepted
6915,86,Quality Issues,Not Accepted
6928,685,Size/Fit Issues,Not Accepted
6929,712,Found a Better Price,Delivered
6931,895,Changed Mind,Sent
6941,437,Size/Fit Issues,Delivered
6946,881,Damaged,Not Accepted
6954,228,Too Expensive,Not Accepted
6956,530,Found a Better Price,Registered
6977,320,Found a Better Price,Delivered
6989,397,Defective,Delivered
7011,614,Wrong Item,Not Accepted
7021,158,Duplicate Order,Delivered
7029,534,Damaged,Delivered
7034,281,Changed Mind,Delivered
7065,309,Wrong Item,Not Accepted
7089,396,Not as Expected,Not Accepted
7096,307,Quality Issues,Not Accepted
7098,614,Damaged,Delivered
7102,415,Duplicate Order,Not Accepted
7110,796,Changed Mind,Delivered
7112,60,Size/Fit Issues,Not Accepted
7142,573,Changed Mind,Delivered
7145,1000,Not as Expected,Not Accepted
7148,975,Duplicate Order,Not Accepted
7152,628,Not as Expected,Sent
7161,544,Size/Fit Issues,Delivered
7163,755,Not as Expected,Delivered
7168,586,Damaged,Not Accepted
7179,84,Damaged,Delivered
7191,1002,Changed Mind,Not Accepted
7192,283,Found a Better Price,Delivered
7193,481,Size/Fit Issues,Delivered
7206,144,Not as Expected,Not Accepted
7210,656,Too Expensive,Not Accepted
7211,922,Defective,Not Accepted
7220,398,Quality Issues,Delivered
7238,159,Quality Issues,Not Accepted
7245,972,Wrong Item,Not Accepted
7261,619,Size/Fit Issues,Delivered
7272,105,Too Expensive,Delivered
7299,956,Quality Issues,Delivered
7304,579,Damaged,Delivered
7310,215,Changed Mind,Registered
7335,932,Size/Fit Issues,Not Accepted
7352,458,Not as Expected,Registered
7359,807,Wrong Item,Delivered
7360,626,Too Expensive,Delivered
7365,476,Size/Fit Issues,Not Accepted
7376,480,Quality Issues,Not Accepted
7390,85,Found a Better Price,Delivered
7391,765,Too Expensive,Delivered
7394,505,Size/Fit Issues,Not Accepted
7403,98,Too Expensive,Registered
7410,512,Not as Expected,Delivered
7432,711,Defective,Sent
7445,433,Defective,Delivered
7473,295,Wrong Item,Not Accepted
7480,917,Size/Fit Issues,Delivered
7491,52,Not as Expected,Delivered
7493,724,Size/Fit Issues,Delivered
7504,982,Too Expensive,Not Accepted
7517,844,Not as Expected,Delivered
7528,850,Wrong Item,Delivered
7536,595,Changed Mind,Not Accepted
7542,619,Defective,Sent
7545,824,Not as Expected,Delivered
7566,216,Quality Issues,Received
7579,550,Changed Mind,Sent
7608,633,Defective,Not Accepted
7615,320,Too Expensive,Not Accepted
7619,624,Too Expensive,Not Accepted
7625,60,Quality Issues,Delivered
7628,751,Not as Expected,Delivered
7636,139,Not as Expected,Delivered
7645,199,Defective,Not Accepted
7651,396,Too Expensive,Not Accepted
7660,465,Damaged,Delivered
7686,883,Damaged,Not Accepted
7704,150,Size/Fit Issues,Not Accepted
7709,502,Size/Fit Issues,Not Accepted
7714,902,Not as Expected,Delivered
7732,345,Damaged,Registered
7740,11,Duplicate Order,Sent
7751,123,Duplicate Order,Delivered
7754,284,Duplicate Order,Not Accepted
7767,109,Quality Issues,Received
7771,426,Damaged,Delivered
7783,882,Changed Mind,Delivered
7797,78,Not as Expected,Registered
7808,185,Quality Issues,Not Accepted
7817,133,Defective,Delivered
7820,393,Duplicate Order,Not Accepted
7833,976,Too Expensive,Not Accepted
7844,748,Changed Mind,Not Accepted
7870,774,Damaged,Not Accepted
7873,180,Changed Mind,Delivered
7887,557,Not as Expected,Not Accepted
